rank,priority_tier,lead_score,conversion_probability,address,city,zip_code,lat,lon,hail_size,roof_age,property_value,square_footage,social_trigger,social_pressure_score,nearby_permits_6mo,agent4_recommendation,agent5_recommendation,trigger_description,sii_score,risk_score,primary_persona,property_id,storm_id
1,A,100.0,0.086975,1003 Main St,Dallas,75226.0,32.806297545259106,-96.6579560157577,2.5,52,546530,1748,home_pride,45,0,IMMEDIATE_OUTREACH,,🏠 HOME PRIDE: 1 recent improvement permits in area,96.4551581239239,75.86963665440723,Family_Protector,prop_00003,STORM_DFW_20260115
2,A,100.0,0.0918,5194 Main St,Dallas,75249.0,32.81245182060975,-96.71055206355929,2.5,60,443178,3391,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,109.85888902413149,89.97844761622736,Family_Protector,prop_04194,STORM_DFW_20260115
3,A,100.0,0.0918,1822 Main St,Dallas,75226.0,32.72674975150734,-96.66106396568176,2.5,32,411777,2172,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,115.64812482996348,77.8789494112691,Deal_Hunter,prop_00822,STORM_DFW_20260115
4,A,100.0,0.09585,1828 Main St,Dallas,75237.0,32.84795037443292,-96.72917454455484,2.5,60,545804,3710,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,99.76298552505374,80.2790251424308,Deal_Hunter,prop_00828,STORM_DFW_20260115
5,A,100.0,0.0918,1834 Main St,Dallas,75229.0,32.776210331821844,-96.89712340089508,2.5,38,490041,3510,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,74.15269865016018,63.371587718912025,Status_Conscious,prop_00834,STORM_DFW_20260115
6,A,100.0,0.0918,1837 Main St,Dallas,75223.0,32.73541816973499,-96.65605434060986,2.5,26,499004,3660,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,78.77933230545653,59.015981145547535,Deal_Hunter,prop_00837,STORM_DFW_20260115
7,A,100.0,0.09570000000000001,1843 Main St,Dallas,75208.0,32.91502109524083,-96.74699430443225,2.5,47,331988,2500,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,82.36112979186878,55.48195324975785,Deal_Hunter,prop_00843,STORM_DFW_20260115
8,A,100.0,0.0781,1846 Main St,Dallas,75231.0,32.652304900423594,-96.80006423960353,2.5,25,589346,3405,none,20,0,IMMEDIATE_OUTREACH,,No recent permit activity nearby,72.92330713944416,61.60459600117133,Family_Protector,prop_00846,STORM_DFW_20260115
9,A,100.0,0.09585,1753 Main St,Dallas,75249.0,32.72717168439712,-96.74487313106476,2.5,51,510644,3115,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,102.88906481910684,76.1913804450444,Status_Conscious,prop_00753,STORM_DFW_20260115
10,A,100.0,0.11745,1764 Main St,Dallas,75209.0,32.636759730420735,-96.80221962930155,2.2,56,376456,4153,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,77.44738852556878,65.15339726008578,Deal_Hunter,prop_00764,STORM_DFW_20260128
11,A,100.0,0.0781,1849 Main St,Dallas,75253.0,32.80531550519601,-96.79120619220731,2.5,50,516235,2865,none,20,0,IMMEDIATE_OUTREACH,,No recent permit activity nearby,120.54409989478948,92.62973559203616,Deal_Hunter,prop_00849,STORM_DFW_20260115
12,A,100.0,0.0918,1852 Main St,Dallas,75235.0,32.68967167792867,-96.89126691359039,2.5,44,479423,4016,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,79.25539247810876,63.34672467105116,Proof_Seeker,prop_00852,STORM_DFW_20260115
13,A,100.0,0.08910000000000001,1861 Main St,Dallas,75207.0,32.762686650424406,-96.67020645811893,2.5,51,389305,2575,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,102.87108817987684,86.13820933896643,Deal_Hunter,prop_00861,STORM_DFW_20260115
14,A,100.0,0.08330000000000001,5077 Main St,Dallas,75243.0,32.709476808314164,-96.82026626299073,2.5,49,465431,2779,home_pride,45,0,IMMEDIATE_OUTREACH,,🏠 HOME PRIDE: 1 recent improvement permits in area,99.91981750213024,78.79430783326423,Status_Conscious,prop_04077,STORM_DFW_20260115
15,A,100.0,0.08330000000000001,5080 Main St,Dallas,75214.0,32.83440629184632,-96.846332839491,2.5,32,438885,2075,home_pride,45,0,IMMEDIATE_OUTREACH,,🏠 HOME PRIDE: 1 recent improvement permits in area,105.31671851866275,91.53737508632597,Deal_Hunter,prop_04080,STORM_DFW_20260115
16,A,100.0,0.0781,5083 Main St,Dallas,75206.0,32.85082348013871,-96.84818657988973,2.5,51,511023,2893,none,20,0,IMMEDIATE_OUTREACH,,No recent permit activity nearby,101.56059330937924,90.45560225105302,Family_Protector,prop_04083,STORM_DFW_20260115
17,A,100.0,0.09735,5089 Main St,Dallas,75249.0,32.640199046370626,-96.79388218359539,2.5,34,343749,2669,joneses,95,3,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 3 neighbors got new roofs in last 6 months!,73.63009816359569,64.05532223865866,Proof_Seeker,prop_04089,STORM_DFW_20260115
18,A,100.0,0.11745,5091 Main St,Dallas,75224.0,32.72909559378501,-96.73903713733434,2.2,43,531024,3529,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,99.37458620644271,81.96578747731829,Family_Protector,prop_04091,STORM_DFW_20260128
19,A,100.0,0.0781,5095 Main St,Dallas,75206.0,32.76630108018185,-96.69456807201313,2.5,46,534953,3335,none,20,0,IMMEDIATE_OUTREACH,,No recent permit activity nearby,102.908306444382,85.47802404008426,Deal_Hunter,prop_04095,STORM_DFW_20260115
20,A,100.0,0.0918,5098 Main St,Dallas,75204.0,32.70427747734043,-96.93849876488498,2.5,47,447148,3434,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,104.40791738997426,78.08697261352776,Deal_Hunter,prop_04098,STORM_DFW_20260115
21,A,100.0,0.0918,5104 Main St,Dallas,75208.0,32.71547960883098,-96.93490095168454,2.5,46,439052,2987,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,87.25410903859883,58.112866095406496,Family_Protector,prop_04104,STORM_DFW_20260115
