property_id,address,city,zip_code,estimated_value,square_footage,property_age,risk_score,sii_score,primary_persona,recommended_play,median_household_income,homeownership_rate,risk_tolerance,price_sensitivity,sii_band,universal_control
prop_00000,1000 Main St,Dallas,75207.0,463190.8868633661,3900.742754478351,44,92.93015154389158,103.00919393133738,Family_Protector,Premium_Showcase,44949,41.28,29.97,70.03,High,False
prop_00001,1001 Main St,Dallas,75230.0,171860.4705094982,1104.7325209830428,52,63.129420583402776,70.85788076597296,Proof_Seeker,Safety_Warranty,56616,27.75,37.74,62.26,Med,False
prop_00002,1002 Main St,Dallas,75206.0,164026.440333658,2991.0414148507457,56,83.39632943879108,91.10250382708664,Family_Protector,Financing_Aggressive,82773,18.8,55.18,44.82,High,True
prop_00003,1003 Main St,Dallas,75226.0,546530.9648391152,1748.779435458672,52,75.86963665440723,96.4551581239239,Family_Protector,Safety_Standard,114699,24.2,76.47,23.53,High,True
prop_00004,1004 Main St,Dallas,75220.0,225718.01932787313,2372.6391604085447,38,87.87170901427271,107.28335130143807,Family_Protector,Safety_Standard,49750,1.65,33.17,66.83,High,True
prop_00005,1005 Main St,Dallas,75237.0,375201.53643976833,1629.4163134955431,31,54.609222372472765,84.0312275236303,Proof_Seeker,Financing_Standard,63500,58.58,42.33,57.67,Med,False
prop_00006,1006 Main St,Dallas,75235.0,434235.92112571426,3471.576683852548,45,73.85716224811065,95.46605548245681,Deal_Hunter,Safety_Warranty,181944,49.04,100.0,0.0,High,False
prop_00007,1007 Main St,Dallas,75248.0,364674.53369702527,2652.3550979918127,54,73.89063724194651,114.32821763801132,Deal_Hunter,Impact_Report_Premium,51406,31.45,34.27,65.73,,False
prop_00008,1008 Main St,Dallas,75226.0,496439.32884446165,2444.2016932433094,49,77.47849892028296,111.08963541112219,Deal_Hunter,Impact_Report_Premium,47210,2.17,31.47,68.53,,False
prop_00009,1009 Main St,Dallas,75249.0,232652.576129451,2628.7842410728213,57,98.33800570993101,85.73093501910651,Family_Protector,Safety_Standard,71723,39.45,47.82,52.18,Med,True
prop_00010,1010 Main St,Dallas,75220.0,294272.6069546229,2511.8845015867937,57,79.6582999617275,107.55061213457293,Deal_Hunter,Impact_Report_Premium,74450,84.62,49.63,50.37,High,True
prop_00011,1011 Main St,Dallas,75253.0,534486.7091065616,1793.339856946311,56,75.40742658414257,97.36380098732216,Family_Protector,Premium_Showcase,114699,24.2,76.47,23.53,High,False
prop_00012,1012 Main St,Dallas,75212.0,255811.75411936166,1122.240502986438,42,70.5950057760869,87.55685749886536,Status_Conscious,Premium_Showcase,49821,40.97,33.21,66.79,Med,False
prop_00013,1013 Main St,Dallas,75227.0,184635.391474303,3443.602896309394,57,78.90655273967488,90.70057393479304,Deal_Hunter,Safety_Standard,82773,18.8,55.18,44.82,High,False
prop_00014,1014 Main St,Dallas,75211.0,159476.3542108875,1987.5534304954112,44,79.69824162967709,95.61919921848013,Deal_Hunter,Safety_Warranty,62134,34.35,41.42,58.58,High,True
prop_00015,1015 Main St,Dallas,75228.0,496647.84291519993,1844.7005712693299,73,63.49058587785175,78.67942463337823,Family_Protector,Impact_Report_Standard,83827,76.15,55.88,44.12,Med,False
prop_00016,1016 Main St,Dallas,75224.0,414413.7358215133,1800.1430222431013,34,64.94222890611559,72.37021262863176,Status_Conscious,Financing_Aggressive,63500,58.58,42.33,57.67,Med,False
prop_00017,1017 Main St,Dallas,75201.0,279964.9334156446,3933.655751866946,26,61.962448464200534,65.49250353617651,Family_Protector,Financing_Aggressive,58884,7.76,39.26,60.74,Low,True
prop_00018,1018 Main St,Dallas,75202.0,372491.2844625321,3083.602212119809,77,81.65115843483167,100.83015283028914,Family_Protector,Financing_Standard,62782,43.91,41.85,58.15,High,True
