rank,priority_tier,lead_score,conversion_probability,address,city,zip_code,hail_size,roof_age,property_value,estimated_claim_value,recommended_action,property_id,sii_score,risk_score
1,A,98.0,0.071,1003 Main St,Dallas,75226.0,2.6,52,546530,8750.0,IMMEDIATE_OUTREACH,prop_00003,96.4551581239239,75.86963665440723
2,A,98.0,0.071,2868 Main St,Dallas,75227.0,2.9,46,507643,8750.0,IMMEDIATE_OUTREACH,prop_01868,101.31704596655848,92.07839064163872
3,A,98.0,0.071,2910 Main St,Dallas,75230.0,2.8,26,560246,8750.0,IMMEDIATE_OUTREACH,prop_01910,120.36284861233658,87.51925365202938
4,A,98.0,0.071,2911 Main St,Dallas,75238.0,2.7,37,517709,8750.0,IMMEDIATE_OUTREACH,prop_01911,119.8252621713899,78.74122695738978
5,A,98.0,0.071,5144 Main St,Dallas,75211.0,2.9,29,527798,8750.0,IMMEDIATE_OUTREACH,prop_04144,110.33749205329534,92.32327390512935
6,A,98.0,0.071,5145 Main St,Dallas,75209.0,2.7,71,518543,8750.0,IMMEDIATE_OUTREACH,prop_04145,105.63645281415484,82.66865507570002
7,A,98.0,0.071,5146 Main St,Dallas,75208.0,2.7,47,521482,8750.0,IMMEDIATE_OUTREACH,prop_04146,108.14673925004976,82.9986641110551
8,A,98.0,0.071,1046 Main St,Dallas,75230.0,2.8,45,507590,8750.0,IMMEDIATE_OUTREACH,prop_00046,109.7600908334768,87.40496571318442
9,A,98.0,0.071,5151 Main St,Dallas,75223.0,2.9,32,529595,8750.0,IMMEDIATE_OUTREACH,prop_04151,110.07209612065388,91.23531436731864
10,A,98.0,0.071,5157 Main St,Dallas,75254.0,2.5,29,580685,8750.0,IMMEDIATE_OUTREACH,prop_04157,84.49208883791695,69.9846453968521
11,A,98.0,0.071,2847 Main St,Dallas,75220.0,2.7,41,527911,8750.0,IMMEDIATE_OUTREACH,prop_01847,100.07969845396038,81.69747671579708
12,A,98.0,0.071,2814 Main St,Dallas,75229.0,2.5,66,574392,8750.0,IMMEDIATE_OUTREACH,prop_01814,82.63861277067521,68.24392365610686
13,A,98.0,0.071,2815 Main St,Dallas,75217.0,2.8,48,569160,8750.0,IMMEDIATE_OUTREACH,prop_01815,103.30874673673236,84.56024673129424
14,A,98.0,0.071,2824 Main St,Dallas,75228.0,2.7,49,548873,8750.0,IMMEDIATE_OUTREACH,prop_01824,102.65933258292507,80.09887082332929
15,A,98.0,0.071,2797 Main St,Dallas,75229.0,2.5,65,561050,8750.0,IMMEDIATE_OUTREACH,prop_01797,72.40827781630625,67.64710287588807
16,A,98.0,0.071,2804 Main St,Dallas,75204.0,2.6,55,505769,8750.0,IMMEDIATE_OUTREACH,prop_01804,97.0443239092409,72.05403160364494
17,A,98.0,0.071,2807 Main St,Dallas,75243.0,2.6,55,525704,8750.0,IMMEDIATE_OUTREACH,prop_01807,112.08836088797084,74.8494260123083
18,A,98.0,0.071,2973 Main St,Dallas,75248.0,2.7,52,526869,8750.0,IMMEDIATE_OUTREACH,prop_01973,111.66978510826314,81.31152051816387
19,A,98.0,0.071,2986 Main St,Dallas,75204.0,2.9,30,524355,8750.0,IMMEDIATE_OUTREACH,prop_01986,102.94832168750376,90.44359001333947
20,A,98.0,0.071,2788 Main St,Dallas,75220.0,2.8,26,574435,8750.0,IMMEDIATE_OUTREACH,prop_01788,108.76997799864574,87.83050019831434
21,A,98.0,0.071,2987 Main St,Dallas,75235.0,2.7,60,512524,8750.0,IMMEDIATE_OUTREACH,prop_01987,99.90700127346663,78.69717234435994
22,A,98.0,0.071,2988 Main St,Dallas,75202.0,2.8,36,513850,8750.0,IMMEDIATE_OUTREACH,prop_01988,102.51907438312472,87.1333816989094
23,A,98.0,0.071,2994 Main St,Dallas,75227.0,2.6,43,544918,8750.0,IMMEDIATE_OUTREACH,prop_01994,108.40206466931532,75.07980883642125
24,A,98.0,0.071,2996 Main St,Dallas,75223.0,2.7,34,549097,8750.0,IMMEDIATE_OUTREACH,prop_01996,105.63992138326184,82.39990757149434
25,A,98.0,0.071,2997 Main St,Dallas,75237.0,2.7,54,510862,8750.0,IMMEDIATE_OUTREACH,prop_01997,110.1435905872898,79.72983722964935
26,A,98.0,0.071,3001 Main St,Dallas,75224.0,2.7,34,573628,8750.0,IMMEDIATE_OUTREACH,prop_02001,102.47279694424108,77.96697514785339
27,A,98.0,0.071,2768 Main St,Dallas,75214.0,2.5,32,521732,8750.0,IMMEDIATE_OUTREACH,prop_01768,73.89821004962259,68.63126308181464
28,A,98.0,0.071,2756 Main St,Dallas,75230.0,2.9,44,540465,8750.0,IMMEDIATE_OUTREACH,prop_01756,114.32303109728782,92.74905879623148
29,A,98.0,0.071,2757 Main St,Dallas,75254.0,2.7,70,514785,8750.0,IMMEDIATE_OUTREACH,prop_01757,119.60595451294888,79.49475527879659
30,A,98.0,0.071,2736 Main St,Dallas,75208.0,2.6,53,550467,8750.0,IMMEDIATE_OUTREACH,prop_01736,96.66633285326446,75.58631678148322
31,A,98.0,0.071,3060 Main St,Dallas,75214.0,2.8,58,541050,8750.0,IMMEDIATE_OUTREACH,prop_02060,105.27867568144411,89.1301158104393
32,A,98.0,0.071,3074 Main St,Dallas,75237.0,2.8,59,507029,8750.0,IMMEDIATE_OUTREACH,prop_02074,109.7221533952802,86.59209409942876
33,A,98.0,0.071,3075 Main St,Dallas,75229.0,2.9,50,538795,8750.0,IMMEDIATE_OUTREACH,prop_02075,100.26317381092464,96.1131448269044
34,A,98.0,0.071,3105 Main St,Dallas,75214.0,2.7,44,525883,8750.0,IMMEDIATE_OUTREACH,prop_02105,110.3331551541898,82.15668116931083
35,A,98.0,0.071,3124 Main St,Dallas,75208.0,3.0,47,503604,8750.0,IMMEDIATE_OUTREACH,prop_02124,113.61006449478846,98.134292292239
36,A,98.0,0.071,2652 Main St,Dallas,75231.0,2.7,54,522066,8750.0,IMMEDIATE_OUTREACH,prop_01652,120.1884897559713,80.6233148148873
37,A,98.0,0.071,3133 Main St,Dallas,75224.0,2.7,48,502574,8750.0,IMMEDIATE_OUTREACH,prop_02133,117.16245329833669,77.87348658941585
38,A,98.0,0.071,2649 Main St,Dallas,75211.0,2.7,48,508349,8750.0,IMMEDIATE_OUTREACH,prop_01649,111.64467164227204,77.77124824101658
39,A,98.0,0.071,3159 Main St,Dallas,75216.0,2.9,25,506103,8750.0,IMMEDIATE_OUTREACH,prop_02159,107.87489108311128,92.37282482685914
40,A,98.0,0.071,2630 Main St,Dallas,75231.0,2.6,50,592068,8750.0,IMMEDIATE_OUTREACH,prop_01630,75.29618958949244,70.26434056288261
